setup,size,size_bytes,lite_time_us,nccl_time_us,lite_busbw,nccl_busbw,nccl_cfg,nccl_log,nccl_label
1nx4g_cudaipc,512B,512,9.11,8.99,0.04,0.04,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,1KiB,1024,9.15,9.13,0.08,0.08,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,2KiB,2048,9.21,9.19,0.17,0.17,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,4KiB,4096,9.38,9.34,0.33,0.33,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,8KiB,8192,9.79,9.92,0.63,0.62,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,16KiB,16384,10.76,10.67,1.14,1.15,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,32KiB,32768,13.88,11.54,1.77,2.13,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,64KiB,65536,14.58,14.49,3.37,3.39,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,128KiB,131072,20.8,20.7,4.73,4.75,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,256KiB,262144,33.63,34.39,5.85,5.72,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,512KiB,524288,60.08,59.5,6.54,6.61,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,1MiB,1048576,82.88,82.34,9.49,9.55,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,2MiB,2097152,125.61,125.6,12.52,12.52,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,4MiB,4194304,216.23,215.93,14.55,14.57,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,8MiB,8388608,353.95,400.57,17.78,15.71,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,16MiB,16777216,660.21,785.76,19.06,16.01,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,32MiB,33554432,1275.84,1544.54,19.72,16.29,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
